bank,no,komponen_otomatis,kalimat_tanya_yang_dinilai,komponen_koreksi_manual
endo-2019,1,Diagnostics,apa kemungkinan diagnosa pasien tersebut?,
endo-2019,2,Diagnostics,apa diagnosa yang tepat?,
endo-2019,3,Physiology,"pasien ini mengalami gangguan pada hormon pth, yang berperan pada metabolisme tulang pada mekanisme apa?",
endo-2019,4,Recall,hormon apa yang dimaksud?,
endo-2019,5,Physiology,mengapa dokter menganjurkan demikian?,
endo-2019,6,Diagnostics,apa diagnosis yang tepat?,
endo-2019,7,Physiology,dimanakah hormon tersebut disintesis?,
endo-2019,8,Recall,hormon apa yang dimaksud?,
endo-2019,9,Pharmacology,contoh obat tersebut apa?,
endo-2019,10,Physiology,apa kemungkinan penyebab dari perdarahan tersebut?,
endo-2019,11,Diagnostics,"pilihan jawaban di bawah ini merupakan karakteristik pada kasus di atas, kecuali apa?",
endo-2019,12,Physiology,apa yang menyebabkan terjadinya penurunan tajam penglihatan pada pasien tersebut?,
endo-2019,13,Physiology,apa penyebab terjadinya proptosis pada pasien tersebut?,
endo-2019,14,Physiology,apa penyakit sistemik yang menjadi penyebab kelainan matanya pada pasien tersebut?,
endo-2019,15,Physiology,apa yang menyebabkan terjadinya neovaskularisasi di retina pada pasien tersebut?,
endo-2019,16,Physiology,bagaimana cara kerja hormon tsh?,
endo-2019,17,Diagnostics,kondisi pasien ini mungkin berhubungan dengan kelainan organ endokrin yang mana?,
endo-2019,18,Physiology,dimanakah hormon tersebut disintesis?,
endo-2019,19,Recall,"berdasarkan guideline esc/eas, maka pasien ini dapat dimasukkan pada kelompok apa?",
endo-2019,20,Diagnostics,apa diagnosis pasien ini?,
endo-2019,21,Diagnostics,ia akan memperlihatkan gejala apa?,
endo-2019,22,Pharmacology,"pasien mendapat terapi statin, yang bekerja dengan cara bagaimana?",
endo-2019,23,Diagnostics,apa diagnosis yang paling mungkin pada pasien tersebut?,
endo-2019,24,Diagnostics,"pada kasus tersebut, apa pemeriksaan laboratorium lain yang perlu dilakukan untuk mendukung diagnosis?",
endo-2019,25,Diagnostics,apa diagnosis klinis yang paling tepat pada pasien di atas?,
endo-2019,26,Diagnostics,apa diagnosis pasien tersebut?,
endo-2019,27,Diagnostics,apa diagnosis pada keadaan tersebut?,
endo-2019,28,Physiology,hormon tiroksin secara fisiologi memiliki efek terhadap apa?,
endo-2019,29,Anatomy,bermuara kemanakah aliran balik/drainase vena pada organ yang mengalami gangguan pada pasien tersebut?,
endo-2019,30,Pharmacology,pasien ini dapat kita berikan tatalaksana berupa apa?,
endo-2019,31,Physiology,apa jenis hormon yang perlu diperiksakan pertama kali pada kasus tersebut?,
endo-2019,32,Anatomy,berasal dari mana vaskularisasi dari organ yang mengalami gangguan pada pasien tersebut?,
endo-2019,33,Anatomy,dimanakah letak organ yang mengalami gangguan pada pasien tersebut?,
endo-2019,34,Diagnostics,apa kemungkinan diagnosis yang paling sesuai pada pasien ini?,
endo-2019,35,Pharmacology,dengan kondisi krisis hipertensi ini dapat diberikan terapi apa?,
endo-2019,36,Diagnostics,klasifikasi dislipidemia pada pasien tersebut menurut fredrickson tergolong tipe apa?,
endo-2019,37,Diagnostics,hal ini dapat disebabkan oleh apa?,
endo-2019,38,Physiology,bagaimana patofisiologi terjadinya kelainan ini?,
endo-2019,39,Diagnostics,apa pemeriksaan penunjang awal untuk menegakkan diagnosis pada kasus tersebut?,
endo-2019,40,Physiology,hormon mana yang bertanggung jawab untuk gejala tersebut?,
endo-2019,41,Recall,bangunan apa yang dimaksud?,
endo-2019,42,Diagnostics,apa diagnosis pada pasien ini?,
endo-2019,43,Physiology,apa kemungkinan patofisiologi dari kasus di atas?,
endo-2019,44,Physiology,gangguan apa yang terjadi pada kaki penderita dm tersebut?,
endo-2019,45,Diagnostics,apa pemeriksaan penunjang awal yang dianjurkan untuk pasien tersebut?,
endo-2019,46,Pharmacology,bagaimanakah tatalaksana untuk pasien tersebut?,
